비트코인, 10378000원
이더리움, 320200원
대시, 203600원
라이트코인, 134700원
이더리움 클래식, 9810원
리플, 506원
비트코인 캐시, 513500원
모네로, 110700원
제트캐시, 105400원
퀀텀, 3910원
비트코인 골드, 28670원
이오스, 9385원
아이콘, 458원
비체인, 9.29원
트론, 37.90원
엘프, 277원
미스릴, 65.80원
크립토닷컴, 6560원
오미세고, 2611원
카이버 네트워크, 316원
골렘, 108원
질리카, 25.10원
에토스, 233원
텐엑스, 368원
왁스, 87.10원
파워렛저, 152원
루프링, 94.20원
기프토, 44.30원
스팀, 532원
스트라티스, 1251원
제로엑스, 398원
어거, 28590원
애터니티, 681원
넴, 109원
스테이터스네트워크토큰, 35.80원
에이다, 113원
파퓰러스, 2504원
코르텍스, 342원
사이버마일즈, 46.40원
쎄타토큰, 136원
월튼체인, 2620원
아이오티체인, 310원
트루체인, 957원
아크블록, 563원
원루트 네트워크, 65.70원
플레이코인, 24.80원
웨이브, 3291원
체인링크, 1374원
엔진코인, 172원
프리마스, 177원
솔트, 284원
레이든네트워크토큰, 1465원
룸네트워크, 143원
피벡스, 2484원
아이앤에스, 550원
비트코인 다이아몬드, 2920원
베잔트, 26.40원
스텔라루멘, 172원
오디세이, 4.12원
비트코인에스브이, 130000원
더마이다스터치골드, 3.85원
베이직어텐션토큰, 447원
위쇼토큰, 26.10원
버지, 25.60원
이오스트, 20.20원
폴리매스, 126원
하이퍼캐시, 1745원
롬, 0.05원
아모코인, 0.76원
이더제로, 210원
에어론, 750원
아피스, 2.20원
메탈, 3660원
디에이씨씨, 0.21원
다빈치, 6.52원
비에이치피, 1890원
비트토렌트, 2.83원
에이치닥, 44.20원
펀디엑스, 1.34원
큐브, 2.29원
지엑스체인, 1282원
오브스, 41.80원
밸러토큰, 3534원
코넌, 28.40원
앵커, 9.30원
믹스마블 NEW, 80.00원
